Name,Returns,UnalignedReturns,Callers,Called,Calls,ApproximateSize,Overridable,Overriden
initialize_2_ida_1000_00B0_100B0,1,0,1,1,4,32,False,False
intialize_resources_ida_1000_00D1_100D1,1,0,1,1,6,49368,False,False
map2_resource_func_ida_1000_0169_10169,1,0,1,1,3,118,False,False
play_intro2_ida_1000_021C_1021C,1,0,1,1,6,11156,False,False
play_CREDITS_HNM_ida_1000_0309_10309,1,0,1,1,1,45,True,False
play_intro_ida_1000_0580_10580,1,0,1,1,20,155,False,False
load_VIRGIN_HNM_ida_1000_061C_1061C,1,0,1,1,8,50243,False,False
play_VIRGIN_HNM_ida_1000_0625_10625,1,0,1,1,5,39,False,False
open_SAL_resource_ida_1000_2D74_12D74,1,0,4,8,3,60,False,False
draw_SAL_ida_1000_3B59_13B59,1,0,2,10,6,101,False,False
SAL_polygon_ida_1000_3BE9_13BE9,1,0,1,15,2,246,False,False
do_weird_shit_with_stack_buffer_ida_1000_3D83_13D83,1,0,1,10,1,112,False,False
calc_SAL_index_ida_1000_5E4F_15E4F,1,0,3,11,0,27,True,False
map_func_qq_ida_1000_63F0_163F0,2,0,2,25,1,530,False,False
audio_test_frequency_ida_1000_A87E_1A87E,1,0,1,1,1,50,True,False
close_res_file_handle_ida_1000_A9A1_1A9A1,1,0,2,2,0,23,True,False
decode_sd_block_ida_1000_AA0F_1AA0F,1,0,2,2,0,1,True,False
audio_start_voc_ida_1000_AB15_1AB15,1,0,1,1,2,47,True,False
pcm_stop_voc_q_ida_1000_AC14_1AC14,1,0,1,1,3,27,False,False
play_music_MORNING_HSQ_ida_1000_AD57_1AD57,1,0,1,1,4,102,False,False
load_music_ida_1000_AE62_1AE62,1,0,3,9,2,34,False,False
open_sav_cl_ida_1000_B389_1B389,1,0,1,1,4,16145,False,False
map_func_ida_1000_B427_1B427,1,0,1,1,1,75,False,False
map_func_ida_1000_B58B_1B58B,1,0,7,242,1,20,False,False
map_func_ida_1000_B6C3_1B6C3,2,0,4,5,3,270,False,False
map_func_gfx_ida_1000_B977_1B977,1,0,1,3,1,19,False,False
map_func_ida_1000_BFE3_1BFE3,1,0,1,2,0,74,True,False
gfx_call_bp_with_front_buffer_as_screen_ida_1000_C097_1C097,1,0,9,22,11,21,False,False
transition_ida_1000_C108_1C108,1,0,5,7,4,46,False,False
load_icons_sprites_ida_1000_C137_1C137,1,0,25,922,0,114,True,False
open_sprite_sheet_ida_1000_C13E_1C13E,1,0,19,120,3,107,False,False
hnm_apply_palette_ida_1000_C1BA_1C1BA,1,0,1,8,1,57,False,False
draw_sprite_ida_1000_C22F_1C22F,2,0,16,1029,3,113,False,False
gfx_copy_rect_at_si_ida_1000_C477_1C477,1,0,1,1,0,34,True,False
gfx_copy_rect_to_screen_ida_1000_C4AA_1C4AA,1,0,1,25,1,34,True,False
gfx_copy_framebuf_to_screen_ida_1000_C4CD_1C4CD,1,0,6,73,1,15,True,False
rect_at_si_to_regs_ida_1000_C4F0_1C4F0,1,0,1,3,1,77,True,False
hnm_reset_and_read_header_ida_1000_C92B_1C92B,1,0,3,8,8,188,False,False
do_frame_and_check_if_frame_advanced_ida_1000_C9F4_1C9F4,1,0,1,178173,1,12,False,False
hnm_close_resource_ida_1000_CA01_1CA01,1,0,3,10,1,25,False,False
hnm_load_ida_1000_CA1B_1CA1B,1,0,1,1,7,68,False,False
hnm_do_frame_ida_1000_CA60_1CA60,1,0,2,209270,6,63,False,False
hnm_decode_video_frame_ida_1000_CC96_1CC96,3,0,4,99,3,3972,False,False
hnm_read_header_size_ida_1000_CD8F_1CD8F,1,0,3,131,1,16,True,False
hnm_prepare_header_read_ida_1000_CDA0_1CDA0,1,0,2,2,3,96,False,False
hnm_reset_ida_1000_CE1A_1CE1A,1,0,4,12,0,32,True,False
initialize_memory_handler_ida_1000_CE6C_1CE6C,1,0,1,1,3,1106,False,False
check_amr_or_eng_language_ida_1000_CFA0_1CFA0,1,0,1,1,1,24,True,False
load_PHRASExx_HSQ_ida_1000_D00F_1D00F,1,0,1,1,2,44,False,False
define_mouse_range_ida_1000_DB14_1DB14,1,0,1,1,2,47,True,False
mouse_stuff_ida_1000_DB4C_1DB4C,1,0,1,488755,0,26,True,False
call_restore_cursor_ida_1000_DBB2_1DBB2,1,0,14,246,1,23,True,False
draw_mouse_ida_1000_DBEC_1DBEC,1,0,7,79,1,46,False,False
redraw_mouse_ida_1000_DC20_1DC20,1,0,1,488755,3,73,False,False
stc_on_user_input_ida_1000_DD63_1DD63,2,0,2,178175,5,76,False,False
check_midi_ida_1000_DE0C_1DE0C,2,0,1,2,3,29,True,False
get_mouse_pos_etc_ida_1000_DF1E_1DF1E,1,0,1,488755,2,136,False,False
parse_command_line_ida_1000_E4AD_1E4AD,1,0,1,1,1,56,False,False
parse_cmd_is_end_of_arg_ida_1000_E56B_1E56B,1,0,1,10,0,15,True,False
load_driver_ax_with_vtable_at_si_ida_1000_E57B_1E57B,1,0,2,3,1,24,False,False
initialize_ida_1000_E594_1E594,1,0,1,1,19,8563,False,False
open_dune_dat_ida_1000_E675_1E675,1,0,1,1,6,2726,False,False
read_dune_dat_toc_ida_1000_E741_1E741,1,0,2,2,2,25,False,False
initialize_audio_ida_1000_E76A_1E76A,1,0,1,1,11,187,False,False
get_pit_timer_value_ida_1000_E8B8_1E8B8,0,0,0,1,1,0,False,False
uninitialize_memory_driver_ida_1000_E8D5_1E8D5,1,0,1,1,2,116,True,False
install_interrupt_handlers_ida_1000_E913_1E913,1,0,1,1,0,54,True,False
initialize_mouse_ida_1000_E97A_1E97A,1,0,1,1,2,121,True,False
memory_func_qq_ida_1000_EA7B_1EA7B,1,0,1,1,0,59,True,False
open_resource_force_hsq_ida_1000_F0A0_1F0A0,1,0,1,1,1,1032,False,False
open_resource_by_index_si_ida_1000_F0B9_1F0B9,3,0,12,48,3,1007,False,False
read_and_maybe_hsq_ida_1000_F0D6_1F0D6,1,0,1,30,1,978,False,False
bump_alloc_get_addr_in_di_ida_1000_F0F6_1F0F6,1,0,1,2,0,37,True,False
bump_allocate_bump_cx_bytes_ida_1000_F0FF_1F0FF,1,0,2,3,0,28,True,False
alloc_cx_pages_to_di_ida_1000_F11C_1F11C,1,0,2,31,1,14,False,False
allocator_attempt_to_free_space_ida_1000_F13F_1F13F,2,0,1,18,0,187,True,False
open_res_or_file_to_dx_size_ax_ida_1000_F1FB_1F1FB,1,0,2,65,3,45,False,False
open_res_or_file_or_die_ida_1000_F229_1F229,1,0,2,56,1,5,False,False
read_resource_to_esdi_ida_1000_F244_1F244,1,0,2,48,2,16,False,False
seek_dune_dat_to_res_dsdx_ida_1000_F2A7_1F2A7,1,0,1,65,3,46,False,False
seek_dune_dat_offset_dxax_ida_1000_F2D6_1F2D6,1,0,2,58,1,16,True,False
read_dune_dat_cx_to_esdi_ida_1000_F2EA_1F2EA,1,0,2,50,1,17,True,False
strcpy_to_filename_buf_ida_1000_F2FC_1F2FC,1,0,3,14,0,23,True,False
locate_res_by_name_dssi_ida_1000_F314_1F314,2,0,3,2855,0,146,True,False
hsq_decomp_skip_header_dssi_to_esdi_ida_1000_F403_1F403,1,0,1,101,2,165,False,False
ConvertIndexTableToPointerTable_1000_0098_10098,0,0,5,7,0,0,True,True
GetEsSiPointerToUnknown_1000_C1F4_1C1F4,0,0,5,71,0,0,True,True
VgaFunc00SetMode_334B_0100_335B0,1,0,1,1,1,2164,True,False
VgaFunc01GetInfoInAxCxBp_334B_0103_335B3,0,0,1,1,0,0,True,True
VgaFunc03DrawMouseCursor_334B_0109_335B9,1,0,6,1063,1,6198,True,False
VgaFunc04RestoreImageUnderMouseCursor_334B_010C_335BC,0,0,4,1058,0,0,True,True
VgaFunc05Blit_334B_010F_335BF,8,0,3,1029,1,5342,True,False
VgaFunc08FillWithZeroFor64000AtES_334B_0118_335C8,0,0,2,2,0,0,True,True
VgaFunc11MemcpyDSToESFor64000_334B_0121_335D1,0,0,2,12,0,0,True,True
VgaFunc12CopyRectangle_334B_0124_335D4,1,0,1,2,1,6788,True,False
VgaFunc14CopySquareOfPixelsSiIsSourceSegment_334B_012A_335DA,0,0,5,131,0,0,True,True
VgaFunc15MemcpyDSToESFor64000_334B_012D_335DD,0,0,1,73,0,0,True,True
VgaFunc16CopySquareOfPixels_334B_0130_335E0,0,0,9,733,0,0,True,True
VgaFunc20NoOp_334B_013C_335EC,0,0,4,25,0,0,True,True
VgaFunc33UpdateVgaOffset01A3FromLineNumberAsAx_334B_0163_33613,0,0,1,1,0,0,True,True
VgaFunc36GenerateTextureOutBP_334B_016C_3361C,0,0,1,662,0,0,True,True
VgaFunc41CopyPalette2toPalette1_334B_017B_3362B,1,0,2,3,1,2298,True,False
WaitForRetrace_334B_09B8_33E68,0,0,1,3,0,0,True,True
SetBxCxPaletteRelated_334B_0A21_33ED1,0,0,3,733,0,0,True,True
CopyCsRamB5FToB2F_334B_0A58_33F08,0,0,1,3,0,0,True,True
LoadPaletteInVgaDac_334B_0B68_34018,0,0,6,799,0,0,True,True
SetDiFromXYCordsDxBx_334B_0C10_340C0,0,0,15,8073,0,0,True,True
MemcpyDSToESFor64000_334B_1B7C_3502C,0,0,2,2,0,0,True,True
CopySquareOfPixels_334B_1B8E_3503E,0,0,1,11,0,0,True,True
UnknownGlobeRelated_334B_1D07_351B7,3,0,1,550,0,580,True,False
UnknownGlobeInitRelated_334B_1D5A_3520A,0,0,1,5,0,0,True,True
UnknownMapRelated_334B_2025_354D5,2,0,1,74,0,253,True,False
CopyMapBlock_334B_2343_357F3,0,0,2,72,0,0,True,True
RetraceRelatedCalledOnEnterGlobe_334B_253D_359ED,0,0,1,19,0,0,True,True
WaitForRetraceInTransitions_334B_2572_35A22,0,0,1,128,0,0,True,True
WaitForRetraceDuringIntroVideo_334B_261D_35ACD,0,0,2,132,0,0,True,True
GenerateMenuTransitionFrame_334B_32C1_36771,2,0,1,187,0,193,True,False
Unknown_1000_A8B1_1A8B1,0,0,1,9,0,0,True,True
InitDialogue_1000_C85B_1C85B,0,0,1,3,0,0,True,True
ClearGlobalVgaOffset_1000_0579_10579,0,0,2,2,0,0,True,True
ClearUnknownValuesAndAX_1000_98F5_198F5,0,0,1,22,0,0,True,True
SetFrontBufferAsActiveFrameBuffer_1000_C07C_1C07C,0,0,19,192,0,0,True,True
SetBackBufferAsActiveFrameBuffer_1000_C085_1C085,0,0,4,4,0,0,True,True
SetTextBufferAsActiveFrameBuffer_1000_C08E_1C08E,0,0,19,1280,0,0,True,True
ClearCurrentVideoBuffer_1000_C0AD_1C0AD,0,0,2,2,0,0,True,True
GetCharacterCoordsXY_1000_D05F_1D05F,0,0,6,4680,0,0,True,True
SetFontToIntro_1000_D068_1D068,0,0,2,2,0,0,True,True
SetFontToMenu_1000_D075_1D075,0,0,6,321,0,0,True,True
PushAll_1000_E270_1E270,0,0,15,344,0,0,True,True
PopAll_1000_E283_1E283,0,0,15,344,0,0,True,True
HnmReadFromFileHandle_1000_CDBF_1CDBF,0,0,2,139,0,0,True,True
VgaInitRelated_1000_DA53_1DA53,0,0,1,1,0,0,True,True
SetMapClickHandlerAddressToInGame_1000_D95B_1D95B,0,0,3,5,0,0,True,True
SetMapClickHandlerAddressFromAx_1000_D95E_1D95E,0,0,5,7,0,0,True,True
InitMapCursorTypeDC58To0_1000_DAA3_1DAA3,0,0,4,6,0,0,True,True
SetSiToMapCursorTypeDC58_1000_DAAA_1DAAA,0,0,3,4,0,0,True,True
UnknownMemcopy_1000_5B96_15B96,0,0,1,2,0,0,True,True
MenuAnimationRelated_1000_D316_1D316,0,0,7,11,0,0,True,True
SetBpToCurrentMenuTypeForScreenAction_1000_D41B_1D41B,0,0,16,1058235,0,0,True,True
LoadSceneSequenceDataIntoAXAndAdvanceSI_1000_093F_1093F,0,0,1,5,0,0,True,True
SetSceneSequenceOffsetToSi_1000_0945_10945,0,0,1,1,0,0,True,True
CallMidiFunc02_1000_AEB7_1AEB7,0,0,4,12,0,0,True,True
CallPcmFunc05_1000_AC30_1AC30,0,0,5,10,0,0,True,True
PcSpeakerActivationWithBXAndALCleanup_5635_0100_56450,0,0,1,1,0,0,True,True
ClearAL_5635_0103_56453,0,0,1,1,0,0,True,True
ClearAL_5635_0109_56459,0,0,2,2,0,0,True,True
ClearAL_5635_0115_56465,0,0,1,1,0,0,True,True
PcSpeakerActivationWithBXAndALCleanup_563E_0100_564E0,0,0,1,1,0,0,True,True
ClearAL_563E_0106_564E6,0,0,1,1,0,0,True,True
ClearAL_563E_0112_564F2,0,0,1,1,0,0,True,True
GetSunlightDay_1000_1AD1_11AD1,0,0,2,37,0,0,True,True
SetHourOfTheDayToAX_1000_1AE0_11AE0,0,0,2,25,0,0,True,True
SetPitTimerToAX_1000_E8A8_1E8A8,0,0,1,1,0,0,True,True
NoOp_1000_0F66_10F66,0,0,3,45882,0,0,True,True
MemCopy8BytesDsSIToDsDi_1000_5B99_15B99,0,0,7,16,0,0,True,True
MemCopy8BytesFrom1470ToD83C_1000_5BA0_15BA0,0,0,6,11,0,0,True,True
MemCopy8Bytes_1000_5BA8_15BA8,0,0,3,19,0,0,True,True
CheckPcmEnabled_1000_AE2F_1AE2F,0,0,9,12,0,0,True,True
IsUnknownDBC80x100And2943BitmaskNonZero_1000_AEC6_1AEC6,0,0,8,489093,0,0,True,True
DispatcherJumpsToBX_1000_D443_1D443,3,0,1,6,61,48166,False,False
DispatcherHelperDeterminesWhereToJump_1000_D454_1D454,1,0,11,5617,0,32,True,False
SetUnknown11CATo0_1000_4AC4_14AC4,0,0,2,2,0,0,True,True
SetUnknown11CATo1_1000_4ACA_14ACA,0,0,5,6,0,0,True,True
IsUnknownDC2BZero_1000_ABCC_1ABCC,0,0,9,2544691,0,0,True,True
IsUnknownDBC80x100_1000_AE28_1AE28,0,0,4,6,0,0,True,True
SetUnknown2788To0_1000_B2BE_1B2BE,0,0,2,2,0,0,True,True
NoOp_1000_D917_1D917,0,0,1,16,0,0,True,True
ShlDXAndCXByAX_1000_DB44_1DB44,0,0,1,2,0,0,True,True
NoOp_1000_E26F_1E26F,0,0,1,47,0,0,True,True
UnknownStructCreation_1000_E75B_1E75B,0,0,2,2753,0,0,True,True
CheckUnknown39B9_1000_E851_1E851,0,0,1,2,0,0,True,True
Fill47F8WithFF_1000_3AE9_13AE9,0,0,2,11,0,0,True,True
Inc2788_1000_B2B9_1B2B9,0,0,1,1,0,0,True,True
SetCEE8To0_1000_DE4E_1DE4E,0,0,1,1,0,0,True,True
GetHnmResourceFlagNamePtrByIndexAXToBx_1000_C921_1C921,0,0,3,21,0,0,True,True
VideoPlayRelated_1000_CA59_1CA59,0,0,1,97,0,0,True,True
CheckIfHnmComplete_1000_CC85_1CC85,0,0,1,59,0,0,True,True
provided_interrupt_handler_0x10_F000_0008_F0008,0,0,2,4,0,0,True,True
provided_interrupt_handler_0x21_F000_0020_F0020,0,0,12,422,0,0,True,True
provided_interrupt_handler_0x33_F000_0024_F0024,0,0,6,666943,0,0,True,True
entry_1000_0000_10000,0,0,0,1,12,0,False,False
unknown_1000_F3A7_1F3A7,1,0,3,2809,0,43,True,False
unknown_1000_E85C_1E85C,1,0,1,1,1,91,False,False
unknown_1000_EFBA_1EFBA,1,0,2,292024,1,26,False,False
unknown_334B_0154_33604,1,0,1,1,2,2579,True,False
interrupt_handler_0x8_1000_EF6A_1EF6A,0,0,1,292023,2,0,False,False
unknown_1000_DB03_1DB03,1,0,1,1,2,279,False,False
unknown_1000_DAE3_1DAE3,1,0,1,1,1,31,True,False
unknown_1000_A637_1A637,1,0,1,1,1,24,True,False
unknown_1000_AE54_1AE54,1,0,1,1,1,22,True,False
unknown_1000_A650_1A650,1,0,1,1,1,33,True,False
unknown_1000_AE3F_1AE3F,1,0,1,1,1,17116,True,False
unknown_1000_E826_1E826,1,0,1,1,4,42,False,False
unknown_1000_CEB0_1CEB0,1,0,1,6,3,24,False,False
unknown_1000_CE01_1CE01,1,0,3,16,0,24,True,False
unknown_1000_CFB9_1CFB9,1,0,1,1,2,130,False,False
unknown_1000_B5C5_1B5C5,1,0,1,70,1,9,False,False
unknown_1000_B5A0_1B5A0,2,0,1,242,0,36,True,False
unknown_1000_6603_16603,1,0,4,144,5,25,False,False
unknown_1000_6906_16906,1,0,3,147,0,16,True,False
unknown_1000_01E0_101E0,1,0,1,67,0,43,True,False
unknown_1000_B17A_1B17A,1,0,1,2,1,16,False,False
unknown_1000_96B5_196B5,1,0,1,2,1,34,False,False
unknown_1000_9F9E_19F9E,2,0,3,7,13,339,False,False
unknown_1000_94F3_194F3,1,0,1,7,0,63,True,False
unknown_1000_A396_1A396,1,0,1,33,2,81,False,False
unknown_1000_A30B_1A30B,4,0,1,159,0,40,True,False
unknown_563E_010F_564EF,1,0,1,292021,3,569,False,False
unknown_1000_DE54_1DE54,2,0,2,178176,0,20,True,False
unknown_1000_0911_10911,1,0,2,3,7,53601,False,False
unknown_1000_39E6_139E6,1,0,6,13,0,41100,True,False
unknown_1000_B930_1B930,1,0,4,7,1,8514,False,False
unknown_1000_DA5F_1DA5F,2,0,9,63,0,67,True,False
unknown_1000_0B21_10B21,1,0,1,3,2,35,False,False
unknown_1000_9985_19985,1,0,2,4,0,8,True,False
unknown_1000_98E6_198E6,1,0,4,22,2,709,False,False
unknown_1000_A7A5_1A7A5,1,0,5,29,3,29,False,False
unknown_1000_D61D_1D61D,1,0,1,29,3,48,True,False
unknown_1000_0A3E_10A3E,1,0,1,3,0,53300,True,False
unknown_563E_0103_564E3,1,0,3,9,3,426,False,False
unknown_563E_052F_5690F,1,0,2,10,2,52,False,False
unknown_563E_05A6_56986,1,0,2,2550,1,24,False,False
unknown_563E_05BF_5699F,1,0,6,101536,0,27,True,False
unknown_563E_0564_56944,1,0,1,20,0,45,True,False
unknown_563E_02AE_5668E,1,0,1,9,1,96,False,False
unknown_563E_049B_5687B,1,0,7,31413,0,59,True,False
unknown_563E_036F_5674F,1,0,2,145530,8,87,False,False
unknown_563E_03C7_567A7,1,0,1,145530,0,48,True,False
unknown_563E_0428_56808,1,0,1,30208,2,406,False,False
unknown_563E_0349_56729,1,0,1,145521,0,37,True,False
unknown_334B_0106_335B6,1,0,3,86,1,2330,True,False
unknown_1000_CCF4_1CCF4,1,0,3,101,1,140,False,False
unknown_1000_CB1A_1CB1A,2,0,4,240467,4,742,False,False
unknown_1000_CC0C_1CC0C,1,5,1,121,0,30,True,False
unknown_1000_CC2B_1CC2B,1,0,1,240467,0,34,True,False
unknown_563E_045D_5683D,2,0,1,33,1,61,False,False
unknown_334B_0151_33601,4,0,1,7,11,11482,False,False
unknown_334B_26E3_35B93,1,0,1,1,2,74,True,False
unknown_334B_0160_33610,1,0,5,57,1,2567,True,False
unknown_1000_C0F4_1C0F4,1,0,12,48,1,13,False,False
unknown_1000_3A7C_13A7C,1,0,1,1,1,24,False,False
unknown_1000_DE7B_1DE7B,1,0,3,2284445,0,1,True,False
unknown_1000_E3CC_1E3CC,1,0,4,666931,0,18,True,False
unknown_1000_D9D2_1D9D2,1,0,3,667199,8,49,False,False
unknown_1000_ACE6_1ACE6,2,0,1,667199,4,215,False,False
unknown_1000_CAA0_1CAA0,1,0,2,209316,1,51,False,False
unknown_1000_CAD4_1CAD4,1,0,2,209315,1,27,True,False
unknown_563E_0422_56802,1,0,1,34,2,387,False,False
unknown_1000_CC4E_1CC4E,1,0,2,97,0,54,True,False
unknown_563E_041C_567FC,1,0,1,19,2,393,False,False
interrupt_handler_0x9_1000_EFE7_1EFE7,0,0,1,8,0,0,True,False
unknown_1000_0083_10083,1,0,1,1,6,49446,False,False
unknown_1000_D1EF_1D1EF,1,0,1,1,2,16,False,False
unknown_1000_D200_1D200,1,0,12,312,3,56,False,False
unknown_1000_B4EA_1B4EA,1,0,1,1,0,68,True,False
unknown_1000_1860_11860,1,0,1,1,9,67,False,False
unknown_1000_1843_11843,1,0,1,1,0,38,True,False
unknown_1000_D2BD_1D2BD,1,0,8,12,0,33,True,False
unknown_1000_5ADF_15ADF,1,0,3,3,1,32659,False,False
unknown_1000_7B36_17B36,1,0,1,3,3,33,False,False
unknown_1000_8770_18770,1,0,1,3,0,27,True,False
unknown_1000_5F79_15F79,1,0,1,3,0,23,True,False
unknown_1000_79DE_179DE,1,0,1,3,0,18086,True,False
unknown_1000_D75A_1D75A,1,0,1,2,5,1371,False,False
unknown_1000_D795_1D795,1,0,1,2,2,1430,False,False
unknown_1000_1A34_11A34,2,0,4,71,6,103,False,False
unknown_1000_1A9B_11A9B,1,0,1,72,2,41,False,False
unknown_334B_0112_335C2,7,0,5,570,1,5339,True,False
unknown_1000_E290_1E290,1,0,1,36,2,57,False,False
unknown_1000_D04E_1D04E,1,0,10,353,0,16,True,False
unknown_1000_D12F_1D12F,1,0,10,4263,2,58,False,False
unknown_334B_0115_335C5,2,0,2,4413,1,6946,True,False
unknown_1000_D1F2_1D1F2,1,0,4,54,2,13,False,False
unknown_1000_2DB1_12DB1,1,0,1,2,15,5524,False,False
unknown_1000_D717_1D717,1,0,3,5,3,1304,False,False
unknown_1000_D741_1D741,1,0,4,20,1,24,False,False
unknown_334B_011E_335CE,3,0,4,252,1,6314,True,False
unknown_1000_2EB2_12EB2,2,1,1,8,11,44392,False,False
unknown_1000_2E98_12E98,1,0,1,8,0,25,True,False
unknown_1000_2EFB_12EFB,1,0,2,9,1,255,False,False
unknown_1000_3090_13090,1,0,2,8,3,40,False,False
unknown_1000_3127_13127,1,0,1,8,2,70,False,False
unknown_1000_331E_1331E,1,0,3,33,5,102,False,False
unknown_1000_33BE_133BE,1,0,1,33,2,26,False,False
unknown_1000_33D9_133D9,1,0,1,33,0,44,True,False
unknown_1000_34A5_134A5,1,0,1,33,1,42,False,False
unknown_1000_6639_16639,1,0,1,33,1,54,False,False
unknown_1000_7F27_17F27,1,0,2,35,1,55,False,False
unknown_1000_3385_13385,1,0,1,33,0,56,True,False
unknown_1000_5274_15274,1,0,1,33,1,174,False,False
unknown_1000_5323_15323,1,0,1,165,1,32,False,False
unknown_1000_5133_15133,3,0,2,195,0,100,True,False
unknown_1000_36EE_136EE,1,0,2,21,3,52,False,False
unknown_1000_30B9_130B9,1,0,1,4,0,102,True,False
unknown_1000_3120_13120,1,0,1,4,0,6,True,False
unknown_1000_2FFB_12FFB,1,0,2,10,4,41476,False,False
unknown_1000_3EFE_13EFE,1,0,4,22,0,22,True,False
unknown_1000_D763_1D763,1,0,1,8,3,1380,False,False
unknown_1000_D48A_1D48A,1,0,8,229,9,132,False,False
unknown_1000_CF70_1CF70,2,0,11,264,1,47,False,False
